******************************************************************************************************************************************************************************************************************************
CODIGO INSTALACION   : 130391:90437
15:47:29 {TRACE}  : WHEN-VALIDATE-ITEM: B1.HASTA_FECHA
15:47:29 {TRACE}  : DISPSTD.POST_TEXT_ITEM: B1.HASTA_FECHA
15:47:29 {TRACE}  : LV.DESACTIVA
15:47:29 {TRACE}  : DISPSTD.PRE_TEXT_ITEM: B1.DESDE_CLIENTE
15:47:29 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.DESDE_CLIENTE: 
15:47:29 {TRACE}  : LV.SET_LV_GRUPO: N
15:47:29 {TRACE}  : LV.ACTIVA, p_lista_valores: CLIENTES_GESTION, p_ejecutar_consulta_aut: S, p_where_defecto: WHERE codigo_empresa = :GLOBAL.codigo_empresa AND (:GLOBAL.usuario = :GLOBAL.superusuario OR NOT EXISTS (
SELECT 1 FROM bloqueo_clientes
WHERE empresa = :GLOBAL.codigo_empresa
AND codigo_cliente = codigo_rapido
AND (usuario = :GLOBAL.usuario OR usuario IS NULL)
AND (TRUNC(SYSDATE) >= desde_fecha) AND (TRUNC(SYSDATE) <= hasta_fecha))) AND PKVALIDAR_ENTIDADES.CLIENTE(CODIGO_RAPIDO,:GLOBAL.CODIGO_EMPRESA,:GLOBAL.USUARIO,SYSDATE,'S')='OK' and plantilla_libra like case when :global.codigo_empresa = '003' then 'EC%' else '%%' end, p_consulta_bd: SELECT codigo_rapido c1, nombre c2, razon_social c3, fecha_baja C4, estado c5, divisa_habitual c6,  tipo_cliente c7, rowid rowid_lov FROM clientes
15:47:29 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: ETIQUETA_BOTON_WHERE, p_valor: 
15:47:29 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: ETIQUETA_BOTON_WHERE2, p_valor: 
15:47:29 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: WHERE_LOV2, p_valor: 
15:47:30 {TRACE}  : KEY-NEXT-ITEM: B1.DESDE_CLIENTE: 
15:47:30 {TRACE}  : VALIDATE_ITEM
15:47:30 {TRACE}  : BD:PKPANTALLAS-GET_COMANDOS_PLUG_IN: get_comandos_plug_in
15:47:30 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
15:47:30 {TRACE}  : WHEN-VALIDATE-ITEM: B1.DESDE_CLIENTE
15:47:30 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.DESDE_CLIENTE, p_intento: 1, p_lv_codigo_lista: CLIENTES_GESTION, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:30 {TRACE}  : DISPSTD.POST_TEXT_ITEM: B1.DESDE_CLIENTE
15:47:30 {TRACE}  : LV.DESACTIVA
15:47:30 {TRACE}  : DISPSTD.PRE_TEXT_ITEM: B1.HASTA_CLIENTE
15:47:30 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.HASTA_CLIENTE: 
15:47:30 {TRACE}  : LV.SET_LV_GRUPO: N
15:47:30 {TRACE}  : LV.ACTIVA, p_lista_valores: CLIENTES_GESTION, p_ejecutar_consulta_aut: S, p_where_defecto: WHERE codigo_empresa = :GLOBAL.codigo_empresa AND (:GLOBAL.usuario = :GLOBAL.superusuario OR NOT EXISTS (
SELECT 1 FROM bloqueo_clientes
WHERE empresa = :GLOBAL.codigo_empresa
AND codigo_cliente = codigo_rapido
AND (usuario = :GLOBAL.usuario OR usuario IS NULL)
AND (TRUNC(SYSDATE) >= desde_fecha) AND (TRUNC(SYSDATE) <= hasta_fecha))) AND PKVALIDAR_ENTIDADES.CLIENTE(CODIGO_RAPIDO,:GLOBAL.CODIGO_EMPRESA,:GLOBAL.USUARIO,SYSDATE,'S')='OK' and plantilla_libra like case when :global.codigo_empresa = '003' then 'EC%' else '%%' end, p_consulta_bd: SELECT codigo_rapido c1, nombre c2, razon_social c3, fecha_baja C4, estado c5, divisa_habitual c6,  tipo_cliente c7, rowid rowid_lov FROM clientes
15:47:30 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: ETIQUETA_BOTON_WHERE, p_valor: 
15:47:30 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: ETIQUETA_BOTON_WHERE2, p_valor: 
15:47:30 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: WHERE_LOV2, p_valor: 
15:47:30 {TRACE}  : KEY-NEXT-ITEM: B1.HASTA_CLIENTE: 
15:47:30 {TRACE}  : VALIDATE_ITEM
15:47:30 {TRACE}  : BD:PKPANTALLAS-GET_COMANDOS_PLUG_IN: get_comandos_plug_in
15:47:30 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
15:47:30 {TRACE}  : WHEN-VALIDATE-ITEM: B1.HASTA_CLIENTE
15:47:30 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.HASTA_CLIENTE, p_intento: 1, p_lv_codigo_lista: CLIENTES_GESTION, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:30 {TRACE}  : DISPSTD.POST_TEXT_ITEM: B1.HASTA_CLIENTE
15:47:30 {TRACE}  : LV.DESACTIVA
15:47:30 {TRACE}  : DISPSTD.PRE_TEXT_ITEM: B1.DESDE_SERIE
15:47:31 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.DESDE_SERIE: 
15:47:32 {TRACE}  : KEY-NEXT-ITEM: B1.DESDE_SERIE: 210
15:47:32 {TRACE}  : VALIDATE_ITEM
15:47:32 {TRACE}  : BD:PKPANTALLAS-GET_COMANDOS_PLUG_IN: get_comandos_plug_in
15:47:32 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
15:47:32 {TRACE}  : WHEN-VALIDATE-ITEM: B1.DESDE_SERIE
15:47:32 {TRACE}  : DISPSTD.POST_TEXT_ITEM: B1.DESDE_SERIE
15:47:32 {TRACE}  : LV.DESACTIVA
15:47:32 {TRACE}  : DISPSTD.PRE_TEXT_ITEM: B1.HASTA_SERIE
15:47:32 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.HASTA_SERIE: 210
15:47:33 {TRACE}  : KEY-NEXT-ITEM: B1.HASTA_SERIE: 210
15:47:33 {TRACE}  : VALIDATE_ITEM
15:47:33 {TRACE}  : BD:PKPANTALLAS-GET_COMANDOS_PLUG_IN: get_comandos_plug_in
15:47:33 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
15:47:33 {TRACE}  : WHEN-VALIDATE-ITEM: B1.HASTA_SERIE
15:47:33 {TRACE}  : DISPSTD.POST_TEXT_ITEM: B1.HASTA_SERIE
15:47:33 {TRACE}  : LV.DESACTIVA
15:47:34 {TRACE}  : DISPSTD.PRE_TEXT_ITEM: B1.DESDE_NUM
15:47:34 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.DESDE_NUM: 
15:47:36 {TRACE}  : KEY-NEXT-ITEM: B1.DESDE_NUM: 46
15:47:36 {TRACE}  : VALIDATE_ITEM
15:47:36 {TRACE}  : BD:PKPANTALLAS-GET_COMANDOS_PLUG_IN: get_comandos_plug_in
15:47:36 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
15:47:36 {TRACE}  : WHEN-VALIDATE-ITEM: B1.DESDE_NUM
15:47:36 {TRACE}  : DISPSTD.POST_TEXT_ITEM: B1.DESDE_NUM
15:47:36 {TRACE}  : LV.DESACTIVA
15:47:36 {TRACE}  : DISPSTD.PRE_TEXT_ITEM: B1.HASTA_NUM
15:47:36 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.HASTA_NUM: 46
15:47:38 {TRACE}  : OPCION_MENU: CONSULTAR
15:47:38 {TRACE}  : WHEN-VALIDATE-ITEM: B1.STATUS_FACTURA
15:47:38 {TRACE}  : WHEN-VALIDATE-ITEM: B1.TIPO_DOCUMENTO
15:47:38 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.TIPO_DOCUMENTO, p_intento: 1, p_lv_codigo_lista: TIPOS_DOCUMENTOS, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:38 {TRACE}  : PRE_SUST_VARIABLES_SELECT: SELECT 'S', codigo from tipos_documentos WHERE codigo = :B1.TIPO_DOCUMENTO  AND TIPO_ENTIDAD='CL' and CODIGO in ('FACVEN','TBAI')
15:47:38 {TRACE}  : VALIDA_CAMPO: p_item_codigo: B1.TIPO_DOCUMENTO, p_item_descripcion: , SELECT: SELECT 'S', codigo from tipos_documentos WHERE codigo = :V1  AND TIPO_ENTIDAD='CL' and CODIGO in ('FACVEN','TBAI')
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.D_ORGANIZACION_COMERCIAL
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.D_CENTRO_CONTABLE
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.DESDE_CLIENTE
15:47:39 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.DESDE_CLIENTE, p_intento: 1, p_lv_codigo_lista: CLIENTES_GESTION, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.D_DESDE_CLIENTE
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.HASTA_CLIENTE
15:47:39 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.HASTA_CLIENTE, p_intento: 1, p_lv_codigo_lista: CLIENTES_GESTION, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.D_HASTA_CLIENTE
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.HASTA_NUM
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.DESDE_TIPO_FACTURA
15:47:39 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.DESDE_TIPO_FACTURA, p_intento: 1, p_lv_codigo_lista: TIPOS_FACTURACION, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.D_DESDE_TIPO_FACTURA
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.HASTA_TIPO_FACTURA
15:47:39 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.HASTA_TIPO_FACTURA, p_intento: 1, p_lv_codigo_lista: TIPOS_FACTURACION, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.D_HASTA_TIPO_FACTURA
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.USUARIO
15:47:39 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.USUARIO, p_intento: 1, p_lv_codigo_lista: USUARIOS, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.D_USUARIO
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.CLIENTE_ALBARAN
15:47:39 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.CLIENTE_ALBARAN, p_intento: 1, p_lv_codigo_lista: CLIENTES, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.D_CLIENTE_ALBARAN
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.NUMERO_ACUSE
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.SERIE_LICITACION
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.NUMERO_OFERTA
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.CONTRATO_LICITACION
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.CLIENTE_LICITACION
15:47:39 {TRACE}  : WHEN-VALIDATE-ITEM: B1.D_CLIENTE_LICITACION
15:47:39 {TRACE}  : WHEN-VALIDATE-RECORD: B1
15:47:39 {DEBUG}  : BD:PKEFACTURA_BD-HAY_INCIDENCIAS_PENDIENTES: p_tipo_documento: FACVEN, p_usuario: EMERCADO, p_superusuario: EMERCADO, p_organizacion_comercial: 04010, p_centro_contable: , p_desde_fecha: 01-10-2024 00:00:00, p_hasta_fecha: 03-10-2024 00:00:00, p_desde_cliente: , p_hasta_cliente: , p_desde_serie: 210, p_hasta_serie: 210, p_desde_num: 46, p_hasta_num: 46, p_grupo_balance: , p_organizacion_compras: , p_desde_proveedor: , p_hasta_proveedor: , p_desde_numero_factura: , p_hasta_numero_factura: , p_desde_fecha_factura: , p_hasta_fecha_factura: , p_desde_importe: , p_hasta_importe: , p_desde_registro_factura: , p_hasta_registro_factura: , p_desde_serie_justificante: , p_hasta_serie_justificante: , p_desde_justificante: , p_hasta_justificante: , p_tipo_factura: , p_tipo_material: 
15:47:39 {DEBUG}  : empresa = :GLOBAL.codigo_empresa AND organizacion_comercial = :B1.ORGANIZACION_COMERCIAL AND NOT EXISTS (SELECT 1 FROM edoc_errores e WHERE e.id_digital = facturas_ventas.id_digital AND e.procesar = 'P')  AND NOT EXISTS (SELECT 1 FROM documentos doc WHERE doc.id_digital = facturas_ventas.id_digital) AND NOT EXISTS (SELECT 1 FROM facturas_sustituciones fs WHERE facturas_ventas.empresa = fs.empresa and facturas_ventas.ejercicio = fs.ejercicio_can and facturas_ventas.numero_serie = fs.numero_serie_can and facturas_ventas.numero_factura = fs.numero_factura_can) AND NVL(status_firma_digital, 'N') = 'N' 
                        AND (EXISTS (SELECT 1 FROM centros_documentos cd, caracteres_asiento ca 
                                        WHERE ca.codigo = facturas_ventas.centro_contable 
                                        AND ca.empresa = :global.codigo_empresa AND cd.grupo_balance = ca.grupo_balance 
                                        AND cd.tipo_documento = :b1.tipo_documento AND cd.empresa = :global.codigo_empresa 
                                        AND cd.enviar_todo = 'S') 
                        OR EXISTS (SELECT 1 FROM tipos_documentos_entidad_gb tde, caracteres_asiento c 
                                    WHERE c.codigo = facturas_ventas.centro_contable AND c.empresa = :global.codigo_empresa 
                                    AND tde.empresa = :global.codigo_empresa AND tde.tipo_entidad = 'CL' 
                                    AND tde.codigo_entidad = facturas_ventas.cliente AND tde.grupo_balance = c.grupo_balance 
                                    AND tde.tipo_documento = :b1.tipo_documento) 
                        OR EXISTS (SELECT 1 FROM tipos_documentos_entidad tde 
                                    WHERE tde.empresa = :global.codigo_empresa 
                                    AND tde.tipo_entidad = 'CL' AND tde.codigo_entidad = facturas_ventas.cliente 
                                    AND tde.tipo_documento = :b1.tipo_documento))
                                    AND fecha_cancelacion_sat is null 
                                    AND fecha_envio_cancelacion_sat is null AND pk_util_detr.envio_fe(facturas_ventas.empresa, facturas_ventas.ejercicio, facturas_ventas.numero_serie, facturas_ventas.numero_factura) = 'S'  AND EXISTS (SELECT 1 FROM centros_documentos cd, caracteres_asiento ca WHERE ca.codigo = facturas_ventas.centro_contable AND ca.empresa = :global.codigo_empresa AND cd.grupo_balance = ca.grupo_balance AND cd.tipo_documento = :b1.tipo_documento AND cd.empresa = :global.codigo_empresa AND cd.digital = 'S')  AND numero_serie >= :b1.desde_serie  AND numero_serie <= :b1.hasta_serie  AND numero_factura >= :b1.desde_num  AND numero_factura <= :b1.hasta_num  AND fecha_factura >= TO_DATE(:b1.desde_fecha,'DD/MM/YYYY') AND fecha_factura <= TO_DATE(:b1.hasta_fecha,'DD/MM/YYYY')
15:47:39 {TRACE}  : DISPSTD.POST_TEXT_ITEM: B1.HASTA_NUM
15:47:39 {TRACE}  : LV.DESACTIVA
15:47:39 {TRACE}  : PRE-QUERY: B2
15:47:39 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:47:39 {TRACE}  : WHEN-NEW-BLOCK-INSTANCE: B2
15:47:39 {TRACE}  : FMENU.SET_PROPIEDAD: p_propiedad: ICONO_FILTRAR_CONSULTA, p_valor: B2
15:47:39 {TRACE}  : PKLIBPNT: BOTON_VERTICAL_VISIBLE. p_boton: PB04, p_etiqueta: Visualizar Factura, p_icono: document_comment_above, p_icono_mapeo: document_comment_above
15:47:39 {TRACE}  : PKLIBPNT: BOTON_VERTICAL_VISIBLE. p_boton: PB05, p_etiqueta: Consultar Albaranes, p_icono: check_box_list-uncheck, p_icono_mapeo: check_box_list-uncheck
15:47:39 {TRACE}  : PKLIBPNT: BOTON_VERTICAL_VISIBLE. p_boton: PB06, p_etiqueta: Archivos asociados, p_icono: folder, p_icono_mapeo: folder
15:47:39 {TRACE}  : PKLIBPNT: BOTON_VERTICAL_VISIBLE. p_boton: PB07, p_etiqueta: Adjuntar Archivos, p_icono: folder_add, p_icono_mapeo: folder_add
15:47:39 {TRACE}  : PKLIBPNT: BOTON_VERTICAL_VISIBLE. p_boton: PB08, p_etiqueta: Impresión Factura, p_icono: printer, p_icono_mapeo: printer
15:47:39 {TRACE}  : PKLIBPNT: BOTON_VERTICAL_VISIBLE. p_boton: PB09, p_etiqueta: Descargar Archivo XML, p_icono: application_go, p_icono_mapeo: application_go
15:47:39 {TRACE}  : PKLIBPNT: BOTON_VERTICAL_VISIBLE. p_boton: PB10, p_etiqueta: Adjuntar Archivos Factura Electrónica, p_icono: folder_page_white, p_icono_mapeo: folder_page_white
15:47:39 {TRACE}  : WHEN-NEW-RECORD-INSTANCE: B2, REGISTRO: 1
15:47:39 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B2, ITEM: B2.SELECCIONADO: N
15:47:46 {TRACE}  : OPCION_MENU: B01
15:47:46 {TRACE}  : FMENU.SET_PROPIEDAD: p_propiedad: RECUPERAR_BOTON_OPC_MENU, p_valor: B01
15:47:46 {DEBUG}  : BD:PKEFACTURA_BD-SELECCIONAR: p_rowid:AAAegmAABAAK/XxAAB, p_valor: true, p_empresa: 004, p_centro_contable: 0401, p_tipo_documento: FACVEN
15:47:46 {BASICO} : BD:-: v_id:1 ,p_valor: true
15:47:46 {TRACE}  : WHEN-VALIDATE-ITEM: B2.SELECCIONADO
15:47:46 {TRACE}  : WHEN-VALIDATE-RECORD: B2
15:47:46 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B2, ITEM: B2.SELECCIONADO: S
15:47:53 {TRACE}  : OPCION_MENU: B03
15:47:53 {TRACE}  : FMENU.SET_PROPIEDAD: p_propiedad: RECUPERAR_BOTON_OPC_MENU, p_valor: B03
15:47:53 {DEBUG}  : BD:PKEFACTURA_BD-ENVIAR_A_FIRMA: p_tipo_documento: FACVEN
15:47:53 {DEBUG}  : BD:PKEFACTURA_BD-7103: v_id:1
15:47:53 {BASICO} : BD:-: t_registros(v_id).seleccionado: true
15:47:53 {DEBUG}  : BD:PKEFACTURA_BD-7105: t_registros(v_id).tipo_envio_gest_externa:
15:47:53 {DEBUG}  : BD:PKEFACTURA_BD-CAMBIA_STATUS_DOCUMENTO: p_tipo_documento: FACVEN, p_status: P, p_id_documental: , p_cambiar_status: S, p_cambiar_id_documental: N, p_cambia_nombre_documentos: N, p_nombre_documento: , p_nombre_documento_metadatos: 
15:47:53 {BASICO} : BD:PKEFACTURA_BD-CAMBIA_STATUS_DOCUMENTO: v_cambiar_status:S p_cambiar_id_documental:N
15:47:53 {DEBUG}  : BD:PKEFACTURA_BD-CALCULAR_STATUS_FACTURA: p_empresa: 004, p_cliente: 023975, p_centro_contable: 0401, p_status_actual: 3000, p_operacion: FD
15:47:53 {DEBUG}  : BD:PKEFACTURA_BD-CALCULAR_STATUS_FACTURA: p_empresa: 004, p_cliente: 023975, p_centro_contable: 0401, p_status_actual: 3000, p_operacion: FD
15:47:53 {DEBUG}  : BD:FE_FIRMFAC-RECALCULA_VENCIMIENTOS: p_usuario: EMERCADO
15:47:54 {DEBUG}  : BD:PK_LIC_FAC_PROCESAR-ACTUALIZA_STATUS: p_rowid: AAAegmAABAAK/XxAAB, p_status: 1, p_observaciones: 
15:47:54 {DEBUG}  : BD:PK_LIC_FAC_PROCESAR-ACTUALIZA_STATUS: p_empresa: 004, p_ejercicio: 2024, p_numero_serie: 210, p_numero_factura: 46, p_status: 1, p_observaciones: 
15:47:55 {DEBUG}  : BD:PKEFACTURA_BD-GUARDA_SEGUIMIENTO_EFACTURA: p_empresa: 004, p_ejercicio: 2024, p_numero_serie: 210, p_numero_factura: 46, p_usuario: EMERCADO, p_fecha: 03-10-2024 16:47:55, p_pto_alcanzado: 01, p_descripcion: , p_error_recuperable: , p_error_notificado: , p_status: , p_proveedor: , p_numero_faccom: , p_codigo_error: , p_numero_albaran: , p_org_comercial: , p_sub_albaran: , p_tipo_factura: , p_tipo_documento: 
15:47:55 {BASICO} : BD:FINFIRMA-FINFIRMA: FINFIRMA
15:47:55 {TRACE}  : CHECK_CONTADORES_MENU_LATERAL
15:47:55 {TRACE}  : DISPSTD.SET_PROPIEDAD: p_codigo: , p_propiedad: AVISO_INACTIVIDAD, p_valor: N, p_tipo: P
15:47:55 {TRACE}  : BD:PKCRMEXPEDIENTES-SET_USUARIO: p_usuario: EMERCADO
15:47:55 {TRACE}  : BD:PKCRMEXPEDIENTES-SET_EMPRESA: p_empresa: 004
15:47:55 {DEBUG}  : BD:PKCRMEXPEDIENTES-F_NUMERO_TAREAS_ACTIVAS: p_empresa: 004, p_tabla: , p_where: , p_numero_expediente: , p_numero_linea: 
15:47:55 {DEBUG}  : BD:PKCRMEXPEDIENTES-GET_CODIGO_FILTROS_PROCESOS: p_empresa: 004, p_usuario: EMERCADO
15:47:55 {TRACE}  : BD:PKCRMEXPEDIENTES-F_NUMERO_TAREAS_ACTIVAS: pkcrmexpedientes.get_empresa(): 004
15:47:55 {TRACE}  : BD:PKCRMEXPEDIENTES-F_NUMERO_TAREAS_ACTIVAS: pkcrmexpedientes.get_filtro_tipo_expediente(): 
15:47:55 {TRACE}  : BD:PKCRMEXPEDIENTES-F_NUMERO_TAREAS_ACTIVAS: pkcrmexpedientes.get_filtro_codigo_secuencia(): 
15:47:55 {TRACE}  : BD:PKCRMEXPEDIENTES-F_NUMERO_TAREAS_ACTIVAS: pkcrmexpedientes.get_filtro_equipo(): 
15:47:55 {TRACE}  : BD:PKCRMEXPEDIENTES-F_NUMERO_TAREAS_ACTIVAS: pkcrmexpedientes.get_usuario_bpm(): EMERCADO
15:47:55 {TRACE}  : BD:PKCRMEXPEDIENTES-F_NUMERO_TAREAS_ACTIVAS: pkcrmexpedientes.get_mostrar_tareas_equipo(): N
15:47:55 {TRACE}  : BD:PKCRMEXPEDIENTES-F_NUMERO_TAREAS_ACTIVAS: SELECT status_interno, COUNT(*) total FROM v_crm_tareas_menu_count v_crm_tareas_menu WHERE (fecha_a_realizar IS NULL OR fecha_a_realizar <= F_CURRENT_DATE) AND mostrar_en_bpm = 'S' AND (c_centro_contable IS NULL OR EXISTS (SELECT 1 FROM usuarios_gb u, centros_grupo_ccont cgc WHERE cgc.empresa = :p_empresa AND cgc.codigo_centro = c_centro_contable AND u.grupo_balance = cgc.codigo_grupo AND u.usuario = :p_usuario AND u.codigo_empresa = :p_empresa)) AND (c_organizacion_crm IS NULL OR EXISTS (SELECT 1 FROM org_crm_usuarios o WHERE o.usuario = :p_usuario AND o.empresa = :p_empresa AND o.codigo_org_crm = c_organizacion_crm)) GROUP BY status_interno
15:47:55 {DEBUG}  : BD:PKCRMEXPEDIENTES-SET_FILTRO_VER_TAREAS_BPM: p_valor: A
15:47:55 {TRACE}  : BD:PKCRMEXPEDIENTES-RESULTADO: resultado: 36, 0100: 13, 0200: 22, 0300: 1, 0500: 0, 0600: 0
15:47:58 {TRACE}  : BD:PK_NOTIFICACIONES_ERP-INT_N_NOTIFICACIONES_ABIERTAS: v_sql: SELECT COUNT(*) FROM vm_libra_param_notif_msg u, libra_notificaciones n WHERE n.usuario_solucion IS NULL AND u.tipo = n.tipo AND u.codigo = n.codigo AND u.usuario = :p_usuario AND u.empresa = :p_empresa AND (n.empresa IS NULL OR n.empresa = u.empresa)
15:47:59 {TRACE}  : BD:PKPANTALLAS_AUX-PUEDE_VER_BLOG_TAB: p_empresa: 004, p_usuario: EMERCADO
15:47:59 {TRACE}  : BD:PKPANTALLAS-INT_GET_PROGRAMA_ERP_RC: MWL.BLOG NO ENCONTRADO
15:47:59 {TRACE}  : BD:PKPANTALLAS-PROGRAMA_AUTORIZADO: p_empresa: 004, p_programa: MWL.BLOG, p_usuario: EMERCADO, p_altas_modificaciones: T, p_programa_actual: , resultado: true
15:47:59 {TRACE}  : BD:PKPANTALLAS_AUX-PUEDE_VER_CALENDARIO_TAB: p_empresa: 004, p_usuario: EMERCADO
15:47:59 {TRACE}  : ejecuta_javascript, p_item: , ADF: SI, p_codigo: libra_menu_erp.fn.actualizar_tareas_activas(36)
15:47:59 {TRACE}  : ejecuta_javascript, p_item: , ADF: SI, p_codigo: libra_menu_erp.fn.actualizar_mensajes_pdtes(17231)
15:47:59 {TRACE}  : ejecuta_javascript, p_item: , ADF: SI, p_codigo: libra_menu_erp.fn.actualizar_notificaciones_erp(238689)
15:47:59 {TRACE}  : ejecuta_javascript, p_item: , ADF: SI, p_codigo: libra_menu_erp.fn.actualizar_comunidades(0)
15:48:00 {TRACE}  : BD:PKPANTALLAS-OPERACION_COMANDOS_PLUG_IN: p_operacion: GUARDAR
15:48:00 {TRACE}  : BD:PKPANTALLAS-LEER_MENSAJE: p_tipo: PROCE, p_mensaje: BIEN, p_idioma: 23, p_texto: 
15:48:00 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:48:00 {DEBUG}  : MENSAJE: [PROCE-BIEN]: El proceso ha terminado correctamente.. B2.SELECCIONADO
15:48:02 {DEBUG}  : RESPUESTA: ALERT_BUTTON1
15:48:02 {TRACE}  : BD:PKPANTALLAS-OPERACION_COMANDOS_PLUG_IN: p_operacion: RECUPERAR
15:48:02 {TRACE}  : BD:PKPANTALLAS-EXCEPCIONES_ORA: inicializa_excepciones_ora
15:48:02 {TRACE}  : WHEN-NEW-BLOCK-INSTANCE: B1
15:48:02 {TRACE}  : FMENU.SET_PROPIEDAD: p_propiedad: ICONO_FILTRAR_CONSULTA, p_valor: B1
15:48:02 {TRACE}  : WHEN-NEW-RECORD-INSTANCE: B1, REGISTRO: 1
15:48:02 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.TIPO_OPERACION: E
15:49:06 {TRACE}  : OPCION_MENU: AYUDA_ACERCA_DE
15:49:06 {TRACE}  : ITEM: 
***************************************************************************************************************************************************************************************************
* VOLCADO DEL BLOQUE B1
***************************************************************************************************************************************************************************************************
STATUS                : QUERY
LAST_QUERY            : 
QUERY_DATA_SOURCE_NAME: 
DML_DATA_TARGET_NAME  : 
DEFAULT_WHERE         : 
ORDER_BY              : 
QUERY_ALLOWED         : TRUE
INSERT_ALLOWED        : TRUE
UPDATE_ALLOWED        : TRUE
DELETE_ALLOWED        : FALSE
 
